,byr,race,interval,vmn1,vsd1,vnu1,vnms1,vfin1,year,ctr1,type,ltax,xltax
0,44,1,1,10625.58,7052.47,179,3.0,0.179,78,15,TAXAB,0.296,0.218
1,44,1,2,11546.46,8032.55,182,5.0,0.198,78,15,TAXAB,0.368,0.264
2,44,1,3,11401.16,7508.27,209,1.5,0.196,78,15,TAXAB,0.335,0.254
3,44,1,4,10899.99,7342.6,206,1.5,0.189,78,15,TAXAB,0.311,0.248
4,44,1,5,11667.14,7507.56,207,0.0,0.159,78,15,TAXAB,0.415,0.362
5,44,1,6,11191.45,7251.15,177,5.0,0.153,78,15,TAXAB,0.305,0.226
6,44,1,7,10804.34,7450.33,192,1.5,0.182,78,15,TAXAB,0.313,0.276
7,44,1,8,10467.22,7349.47,143,5.0,0.245,78,15,TAXAB,0.322,0.28
8,44,1,9,11051.14,7766.3,198,4.0,0.202,78,15,TAXAB,0.303,0.217
9,44,1,10,10919.0,7529.37,222,7.0,0.198,78,15,TAXAB,0.293,0.207
10,44,1,11,11062.26,7445.47,176,4.0,0.199,78,15,TAXAB,0.358,0.301
11,44,1,12,10334.19,7812.5,161,7.0,0.224,78,15,TAXAB,0.267,0.224
12,44,1,13,11688.34,7687.5,185,8.0,0.178,78,15,TAXAB,0.335,0.27
13,44,1,14,11214.74,7225.73,186,4.0,0.151,78,15,TAXAB,0.328,0.269
14,44,1,15,10550.23,7285.69,162,4.0,0.216,78,15,TAXAB,0.309,0.228
15,44,1,16,10593.6,7341.52,136,5.0,0.228,78,15,TAXAB,0.272,0.199
16,44,1,17,11416.43,7138.68,191,4.0,0.152,78,15,TAXAB,0.346,0.272
17,44,1,18,11487.44,7024.36,192,3.0,0.161,78,15,TAXAB,0.375,0.318
18,44,1,19,10352.94,7693.51,197,1.5,0.249,78,15,TAXAB,0.279,0.234
19,44,1,20,10650.24,7478.31,179,0.0,0.19,78,15,TAXAB,0.318,0.268
20,44,1,21,11008.0,7841.86,216,5.0,0.185,78,15,TAXAB,0.352,0.273
21,44,1,22,10542.54,7176.95,204,1.5,0.211,78,15,TAXAB,0.309,0.24
22,44,1,23,10306.97,7385.87,191,4.0,0.188,78,15,TAXAB,0.325,0.293
23,44,1,24,11211.89,7481.63,178,7.0,0.135,78,15,TAXAB,0.348,0.258
24,44,1,25,11244.42,7747.73,161,1.5,0.186,78,15,TAXAB,0.342,0.261
25,44,1,26,10626.68,7426.83,183,6.0,0.186,78,15,TAXAB,0.29,0.202
26,44,1,27,10864.52,7627.37,148,5.0,0.223,78,15,TAXAB,0.297,0.236
27,44,1,28,11644.94,7330.9,184,7.0,0.168,78,15,TAXAB,0.342,0.283
28,44,1,29,11381.89,7052.53,197,7.0,0.168,78,15,TAXAB,0.35,0.299
29,44,1,30,10323.13,7505.32,170,4.0,0.218,78,15,TAXAB,0.341,0.294
30,44,1,31,10268.75,7597.97,187,1.5,0.225,78,15,TAXAB,0.305,0.251
31,44,1,32,12419.87,7819.97,208,3.0,0.139,78,15,TAXAB,0.37,0.26
32,44,1,33,10966.56,7448.77,162,1.5,0.167,78,15,TAXAB,0.358,0.29
33,44,1,34,10537.28,7702.46,216,0.0,0.213,78,15,TAXAB,0.319,0.255
34,44,1,35,11282.55,7123.97,190,3.0,0.147,78,15,TAXAB,0.321,0.242
35,44,1,36,10670.19,7002.54,172,3.0,0.157,78,15,TAXAB,0.297,0.25
36,44,1,37,10451.05,7168.52,170,1.5,0.176,78,15,TAXAB,0.3,0.229
37,44,1,38,11531.31,7206.03,168,5.0,0.173,78,15,TAXAB,0.333,0.268
38,44,1,39,10896.04,8822.22,163,3.0,0.209,78,15,TAXAB,0.282,0.215
39,44,1,40,10881.36,7581.7,171,4.0,0.211,78,15,TAXAB,0.357,0.292
40,44,1,41,12408.68,7817.86,191,3.0,0.136,78,15,TAXAB,0.387,0.309
41,44,1,42,11174.78,7725.38,186,6.0,0.167,78,15,TAXAB,0.328,0.274
42,44,1,43,10863.78,7224.46,181,1.5,0.166,78,15,TAXAB,0.359,0.298
43,44,1,44,10346.2,7336.62,171,3.0,0.211,78,15,TAXAB,0.251,0.199
44,44,1,45,11222.6,7425.09,209,7.0,0.148,78,15,TAXAB,0.306,0.254
45,44,1,46,10837.41,7764.22,188,3.0,0.213,78,15,TAXAB,0.362,0.277
46,44,1,47,9452.55,7132.59,175,1.5,0.223,78,15,TAXAB,0.274,0.24
47,44,1,48,10982.12,7418.33,193,1.5,0.171,78,15,TAXAB,0.311,0.249
48,44,1,49,11591.27,7285.76,162,4.0,0.167,78,15,TAXAB,0.358,0.29
49,44,1,50,10846.31,7296.19,172,4.0,0.18,78,15,TAXAB,0.331,0.267
50,44,1,51,10218.02,7155.56,165,9.0,0.2,78,15,TAXAB,0.261,0.218
51,44,1,52,10538.39,7302.57,172,5.0,0.174,78,15,TAXAB,0.32,0.262
52,44,1,53,11174.05,7352.27,164,4.0,0.14,78,15,TAXAB,0.354,0.256
53,44,1,54,11074.97,7522.04,181,4.0,0.182,78,15,TAXAB,0.331,0.254
54,44,1,55,10761.49,7639.31,190,7.0,0.221,78,15,TAXAB,0.316,0.247
55,44,1,56,10313.9,7920.4,185,1.5,0.227,78,15,TAXAB,0.314,0.227
