byr,race,interval,vmn1,vsd1,vnu1,vnms1,vfin1,year,ctr1,type,ltax,xltax,eligible,earn_nz,sd_nz
50,white,1,9094.59,6586.07,190,1.5,0.163,78,15,TAXAB,0.147,0.126,True,10865.6989247,5707.82109562
50,white,2,9318.77,6434.72,235,1.5,0.132,78,15,TAXAB,0.153,0.119,True,10735.9101382,5699.82804255
50,white,3,9188.05,6559.03,226,3.0,0.159,78,15,TAXAB,0.164,0.124,True,10925.1486326,5672.42170106
50,white,4,8436.5,6675.95,244,1.5,0.221,78,15,TAXAB,0.139,0.107,True,10829.9101412,5593.90643003
50,white,5,8741.71,6428.34,210,4.0,0.171,78,15,TAXAB,0.124,0.114,True,10544.8854041,5552.76463096
50,white,6,9268.83,7005.48,205,3.0,0.195,78,15,TAXAB,0.132,0.093,True,11514.0745342,5925.62182022
50,white,7,9813.76,6679.8,177,1.5,0.136,78,15,TAXAB,0.175,0.13,True,11358.5185185,5839.2666929
50,white,8,8908.52,6826.79,214,6.0,0.178,78,15,TAXAB,0.131,0.089,True,10837.6155718,5982.5044212
50,white,9,8987.29,6657.7,222,5.0,0.167,78,15,TAXAB,0.167,0.131,True,10789.0636255,5811.35073485
50,white,10,9011.44,6751.59,236,7.0,0.186,78,15,TAXAB,0.169,0.127,True,11070.5651106,5762.31563704
50,white,11,8106.54,6857.19,230,4.0,0.243,78,15,TAXAB,0.135,0.126,True,10708.7714663,5852.20450115
50,white,12,8843.82,6914.04,207,4.0,0.193,78,15,TAXAB,0.184,0.13,True,10958.8847584,6004.82015289
50,white,13,8816.73,6724.04,239,3.0,0.197,78,15,TAXAB,0.146,0.1,True,10979.7384807,5705.74115619
50,white,14,9452.78,6848.74,210,3.0,0.138,78,15,TAXAB,0.176,0.124,True,10966.1020882,6149.73060914
50,white,15,9479.93,6854.83,210,1.5,0.186,78,15,TAXAB,0.186,0.133,True,11646.1056511,5700.71558816
50,white,16,8267.63,6349.73,205,5.0,0.205,78,15,TAXAB,0.141,0.122,True,10399.5345912,5342.75183113
50,white,17,9039.63,6786.46,205,5.0,0.18,78,15,TAXAB,0.151,0.107,True,11023.9390244,5855.8517684
50,white,18,9207.76,6315.6,213,7.0,0.141,78,15,TAXAB,0.16,0.122,True,10719.1618161,5498.45762839
50,white,19,8608.28,7215.68,216,8.0,0.25,78,15,TAXAB,0.162,0.106,True,11477.7066667,6040.44255291
50,white,20,9194.16,6553.17,224,1.5,0.161,78,15,TAXAB,0.138,0.116,True,10958.4743743,5643.6330535
50,white,21,9522.92,6240.23,225,4.0,0.147,78,15,TAXAB,0.164,0.142,True,11164.0328253,5227.78718566
50,white,22,9293.33,6486.91,244,1.5,0.205,78,15,TAXAB,0.148,0.127,True,11689.7232704,4991.7577192
50,white,23,8333.45,6367.9,260,4.0,0.219,78,15,TAXAB,0.104,0.081,True,10670.2304738,5194.88411436
50,white,24,9392.18,7036.37,228,5.0,0.215,78,15,TAXAB,0.171,0.14,True,11964.5605096,5682.71958786
50,white,25,9224.09,7030.54,220,1.5,0.209,78,15,TAXAB,0.182,0.105,True,11661.3021492,5836.74099861
50,white,26,8750.57,7028.37,214,1.5,0.164,78,15,TAXAB,0.15,0.093,True,10467.1889952,6412.51301573
50,white,27,8969.89,6695.67,226,4.0,0.19,78,15,TAXAB,0.15,0.115,True,11073.9382716,5661.09913835
50,white,28,9439.01,6967.02,184,8.0,0.212,78,15,TAXAB,0.158,0.103,True,11978.4390863,5583.88625523
50,white,29,9507.13,6756.13,231,3.0,0.16,78,15,TAXAB,0.152,0.113,True,11318.0119048,5817.56401459
50,white,30,8439.18,6692.69,199,1.5,0.196,78,15,TAXAB,0.136,0.116,True,10496.4925373,5840.97601159
50,white,31,8786.87,6844.08,235,6.0,0.2,78,15,TAXAB,0.149,0.128,True,10983.5875,5867.19267912
50,white,32,9120.21,6757.54,227,5.0,0.194,78,15,TAXAB,0.137,0.097,True,11315.3970223,5640.57660968
50,white,33,9170.34,6849.17,215,3.0,0.195,78,15,TAXAB,0.205,0.149,True,11391.7267081,5741.88688276
50,white,34,8197.33,6588.49,216,6.0,0.208,78,15,TAXAB,0.13,0.097,True,10350.1641414,5703.16992616
50,white,35,8889.75,6693.64,222,3.0,0.189,78,15,TAXAB,0.144,0.113,True,10961.4673243,5704.14945834
50,white,36,8333.84,6848.8,233,6.0,0.249,78,15,TAXAB,0.142,0.112,True,11096.9906791,5638.74812396
50,white,37,8661.78,6973.54,208,3.0,0.212,78,15,TAXAB,0.188,0.149,True,10992.106599,6008.18855391
50,white,38,9065.89,6727.04,231,3.0,0.165,78,15,TAXAB,0.126,0.078,True,10857.3532934,5894.46690763
50,white,39,9517.28,6834.03,238,3.0,0.164,78,15,TAXAB,0.155,0.118,True,11384.3062201,5883.1275591
50,white,40,9883.07,7191.56,211,7.0,0.147,78,15,TAXAB,0.213,0.142,False,11586.2485346,6395.14603388
50,white,41,8624.97,6872.54,211,7.0,0.218,78,15,TAXAB,0.156,0.118,False,11029.3734015,5820.62419701
50,white,42,8653.19,6789.55,205,6.0,0.215,78,15,TAXAB,0.176,0.137,False,11023.1719745,5709.53888178
50,white,43,9112.4,6981.25,238,5.0,0.202,78,15,TAXAB,0.185,0.143,False,11419.047619,5893.66464568
