byr	race	year	type	interval	nj	nj0	p_xl	p_l	earnings	iweight	iweight_old	nsrvd	ps_r	ern74	ern75	ern76	ern77	ern78	ern79	ern80	ern81	ern82	ern83	ern84
50	1	74	ADJ	1	8626	1352.42	0.0348072	0.0238583	8853.94	0.000246181	0.000175384	NA	0.3527	1	0.771358	0.694835	0.568015	0.476504	0.407121	0.342708	0.472947	0.354887	0.387296	0.408793
50	1	75	ADJ	1	8615	1557.8	0.05673	0.0268174	9062.64	0.000192868	0.000139371	NA	0.3527	0.771358	1	0.803318	0.711351	0.643066	0.53959	0.533922	0.577639	0.4067	0.398485	0.408106
50	1	76	ADJ	1	8606	1603.02	0.080075	0.0304051	10096.1	0.000165332	0.000116898	NA	0.3527	0.694835	0.803318	1	0.819181	0.649811	0.610188	0.575669	0.617159	0.43717	0.44456	0.423393
50	1	77	ADJ	1	8592	1588.52	0.110013	0.0384353	10916.1	0.000153905	0.000106696	NA	0.3527	0.568015	0.711351	0.819181	1	0.730788	0.661649	0.644522	0.689318	0.552163	0.566851	0.488475
50	1	78	ADJ	1	8574	1608	0.142425	0.0454271	11738.4	0.0001323	9.22008e-05	NA	0.3527	0.476504	0.643066	0.649811	0.730788	1	0.81086	0.690245	0.704682	0.489165	0.503557	0.429488
50	1	79	ADJ	1	8564	1604.61	0.0949444	0.0293981	12266.6	0.000124186	8.49031e-05	NA	0.3527	0.407121	0.53959	0.610188	0.661649	0.81086	1	0.81615	0.735102	0.557315	0.533789	0.485616
50	1	80	ADJ	2	7337	1454.79	0.0996821	0.0239738	12227.3	0.000104733	7.04748e-05	NA	0.1933	0.342708	0.533922	0.575669	0.644522	0.690245	0.81615	1	0.811483	0.789748	0.701517	0.62411
50	1	81	ADJ	2	7327	1488.58	0.0964227	0.0204122	12468.1	9.18942e-05	6.29977e-05	NA	0.1933	0.472947	0.577639	0.617159	0.689318	0.704682	0.735102	0.811483	1	0.728645	0.634369	0.666854
50	1	82	ADJ	2	7318	1581.19	0.100715	0.0197898	12773	7.09323e-05	5.1157e-05	NA	0.1933	0.354887	0.4067	0.43717	0.552163	0.489165	0.557315	0.789748	0.728645	1	0.808913	0.710325
50	1	83	ADJ	1	8521	1949.14	0.0879164	0.0165621	12912.6	8.05295e-05	5.65763e-05	NA	0.3527	0.387296	0.398485	0.44456	0.566851	0.503557	0.533789	0.701517	0.634369	0.808913	1	0.790676
50	1	84	ADJ	1	8508	2049.26	0.0957806	0.022723	13405.7	7.13929e-05	4.98559e-05	NA	0.3527	0.408793	0.408106	0.423393	0.488475	0.429488	0.485616	0.62411	0.666854	0.710325	0.790676	1
50	2	74	ADJ	2	2554	835.965	0.030128	0.0104672	7715.84	6.67061e-05	3.81735e-05	NA	0.1354	1	0.673253	0.602785	0.500004	0.431862	0.418737	0.392203	0.216962	0.238426	0.25659	0.405801
50	2	75	ADJ	2	2549	895.78	0.0374457	0.0126595	7840.31	6.12071e-05	3.43013e-05	NA	0.1354	0.673253	1	0.659624	0.56269	0.521548	0.453595	0.371557	0.248566	0.303348	0.235429	0.392372
50	2	76	ADJ	1	2848	985.784	0.0586076	0.0176746	8633.26	2.46872e-05	1.87736e-05	NA	0.1957	0.602785	0.659624	1	0.618769	0.574938	0.473532	0.390006	0.313207	0.350094	0.235089	0.280607
50	2	77	ADJ	1	2846	953.115	0.0813531	0.0249128	9428.74	2.77409e-05	1.98411e-05	NA	0.1957	0.500004	0.56269	0.618769	1	0.734612	0.548176	0.457031	0.444102	0.442159	0.41227	0.413864
50	2	78	ADJ	1	2841	968.033	0.112175	0.0266289	10234.8	2.80404e-05	1.90089e-05	NA	0.1957	0.431862	0.521548	0.574938	0.734612	1	0.758367	0.643897	0.60783	0.574288	0.45246	0.516251
50	2	79	ADJ	2	2521	824.724	0.0637449	0.0152027	10301.7	2.67228e-05	1.77543e-05	NA	0.1354	0.418737	0.453595	0.473532	0.548176	0.758367	1	0.800411	0.699167	0.629604	0.456882	0.520685
50	2	80	ADJ	2	2517	843.794	0.0694684	0.0172525	10110.3	2.57591e-05	1.7365e-05	NA	0.1354	0.392203	0.371557	0.390006	0.457031	0.643897	0.800411	1	0.779419	0.641894	0.566094	0.584253
50	2	81	ADJ	2	2511	829.067	0.063587	0.0154685	10227.3	2.3771e-05	1.63827e-05	NA	0.1354	0.216962	0.248566	0.313207	0.444102	0.60783	0.699167	0.779419	1	0.783879	0.609268	0.59327
50	2	82	ADJ	1	2820	1002.07	0.0726558	0.0169935	10740.5	2.42935e-05	1.62348e-05	NA	0.1957	0.238426	0.303348	0.350094	0.442159	0.574288	0.629604	0.641894	0.783879	1	0.732557	0.680604
50	2	83	ADJ	2	2501	908.185	0.0646905	0.0143777	10896.7	2.3458e-05	1.46508e-05	NA	0.1354	0.25659	0.235429	0.235089	0.41227	0.45246	0.456882	0.566094	0.609268	0.732557	1	0.774626
50	2	84	ADJ	1	2810	1002.03	0.0797855	0.012571	11253.3	2.26716e-05	1.4744e-05	NA	0.1957	0.405801	0.392372	0.280607	0.413864	0.516251	0.520685	0.584253	0.59327	0.680604	0.774626	1
50	1	74	TAXAB	1	8626	1352.42	0.0348072	0.0238583	8721.84	0.000280274	0.000192025	NA	0.3527	1	0.727691	0.650036	0.515821	0.428415	0.401066	0.323062	0.427432	0.293612	0.37993	0.420998
50	1	75	TAXAB	2	7381	1379.35	0.0712274	0.0239439	9171.12	0.000218449	0.000138952	NA	0.1933	0.727691	1	0.758412	0.656202	0.592561	0.544104	0.517838	0.563186	0.371736	0.419932	0.454491
