earnings,byr,race,interval,eligible
8470.68648223,50,white,13,True
16556.003765,50,white,30,True
20774.0569458,52,white,20,False
0.0,50,nonwhite,73,False
0.0,50,white,64,False
8980.69468198,50,white,72,False
27711.9509915,52,nonwhite,8,True
8259.75596288,52,white,38,False
12993.4974814,52,white,39,False
12398.0475124,51,nonwhite,30,False
14461.3124311,50,nonwhite,44,False
16726.9101537,52,white,48,False
15845.23678,51,white,49,False
25084.7310972,50,white,24,True
18145.8374712,50,white,34,True
16287.6200004,50,nonwhite,47,False
6388.2277924,53,white,44,False
0.0,51,nonwhite,1,True
43627.3247983,50,white,69,False
0.0,53,nonwhite,31,False
7406.36299898,52,white,46,False
20037.4117563,52,nonwhite,57,False
13470.2045336,53,white,69,False
24268.6620529,50,nonwhite,1,True
0.0,51,white,67,False
13949.2321912,51,nonwhite,58,False
11891.154656,51,white,2,True
12520.5534308,52,nonwhite,44,False
0.0,53,white,28,False
25602.8082812,52,white,19,True
0.0,53,white,13,True
11188.2868895,51,nonwhite,30,False
12211.3177248,53,white,7,True
15021.5514584,50,white,5,True
13120.7441959,52,white,32,False
13304.8030553,53,white,45,False
14526.9794003,50,white,51,False
9314.51873771,52,white,72,False
7181.34896304,53,nonwhite,56,False
18897.182142,51,white,50,False
14340.016763,53,white,58,False
10539.6315393,51,white,27,False
0.0,51,white,11,True
14578.3265804,51,white,73,False
0.0,50,nonwhite,56,False
0.0,52,nonwhite,19,True
20535.4675987,53,white,5,True
41521.8332858,51,white,36,False
18296.7155692,51,white,42,False
0.0,50,white,16,True
13559.0199687,51,white,69,False
12145.6676914,53,white,24,False
9267.60410342,50,nonwhite,3,True
4983.79962151,53,white,32,False
11388.5801423,52,white,17,True
0.0,51,white,60,False
37084.1096906,51,white,32,False
0.0,53,white,46,False
0.0,50,white,53,False
19838.448844,52,nonwhite,66,False
0.0,51,white,61,False
9039.01927338,51,white,66,False
9697.47810637,52,white,66,False
23172.5236743,52,white,34,False
6068.02502405,50,white,21,True
7832.73642966,52,white,27,False
4880.6013442,52,white,50,False
19081.5438464,51,white,16,True
0.0,53,white,37,False
0.0,50,white,14,True
13062.9674589,52,white,8,True
16167.4645846,53,nonwhite,64,False
11953.6999384,53,white,27,False
26704.7919542,52,white,48,False
5680.77407562,51,white,72,False
15925.7721176,52,white,8,True
0.0,53,nonwhite,56,False
14784.920225,50,white,47,False
0.0,50,white,5,True
10126.5147173,50,white,49,False
7628.66893577,52,white,44,False
0.0,51,white,67,False
0.0,52,white,46,False
11315.4054983,52,white,28,False
0.0,53,white,17,True
20980.9530298,51,white,19,True
0.0,53,white,40,False
28322.5372404,51,white,39,False
0.0,53,white,40,False
18023.7998265,51,white,28,False
11684.0929071,51,white,12,True
9088.35686813,52,white,50,False
14307.4840993,53,nonwhite,25,False
0.0,53,white,7,True
0.0,52,white,14,True
0.0,53,white,20,False
10459.9175975,53,white,66,False
13911.8044272,51,white,10,True
11109.1778964,53,white,57,False
8045.7765944,53,white,21,False
7268.47917355,53,white,65,False
10875.8069833,53,nonwhite,58,False
32570.5072201,50,white,32,True
0.0,50,white,40,False
23516.4524326,51,white,30,False
30917.4957915,51,white,54,False
17638.8309875,52,white,2,True
14751.893089,53,white,53,False
8316.70254415,53,white,15,True
22150.6234845,51,white,23,True
19385.7912928,53,white,65,False
14779.1719891,53,white,73,False
15428.2822493,52,white,16,True
30962.2686777,50,white,51,False
25576.065768,52,white,31,False
11220.5737993,51,white,36,False
11027.576366,50,white,25,True
31271.2799745,51,white,4,True
7122.24470933,52,white,6,True
9749.25243867,52,white,6,True
31854.7538009,50,white,6,True
0.0,53,white,54,False
0.0,52,white,55,False
10452.9364124,53,white,15,True
8236.22974926,53,white,43,False
13149.3407436,50,nonwhite,60,False
12265.58439,51,white,59,False
13973.6574458,52,white,65,False
23112.2182487,53,nonwhite,70,False
9916.77408358,50,white,53,False
14849.8075985,51,white,53,False
0.0,51,white,12,True
12240.5956701,50,white,57,False
8933.46635568,51,white,30,False
2924.54932546,53,nonwhite,15,True
0.0,51,white,9,True
17609.4963394,53,white,9,True
9655.01685991,50,nonwhite,32,True
17382.741359,52,nonwhite,66,False
24045.2154354,50,nonwhite,19,True
22409.5455741,50,white,17,True
9785.41982164,50,white,29,True
0.0,50,nonwhite,61,False
0.0,50,nonwhite,37,True
28730.4456505,50,white,15,True
8076.48863782,53,white,35,False
0.0,50,white,42,False
31384.915682,51,white,4,True
0.0,50,white,54,False
0.0,51,white,45,False
21359.5852567,52,white,12,True
11327.2855559,53,nonwhite,45,False
18928.8732785,51,white,37,False
19678.4985056,51,white,4,True
0.0,53,white,52,False
10178.6583521,52,white,66,False
26661.8676196,51,white,71,False
0.0,53,nonwhite,15,True
9496.2344597,53,white,45,False
0.0,51,nonwhite,3,True
20262.2121616,53,white,23,False
0.0,51,white,22,True
30561.9033531,50,white,67,False
10267.0440583,50,white,70,False
9997.87079402,53,nonwhite,5,True
10589.4074293,53,white,23,False
9988.03690259,53,nonwhite,64,False
20156.5993319,50,white,29,True
0.0,53,white,3,True
0.0,50,nonwhite,7,True
0.0,53,white,40,False
8737.54306521,52,white,55,False
7216.57391009,53,nonwhite,18,True
